,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 111,LEARN MORE Funding scholarship opportunities at Historically Black Colleges and Universities Helping students overcome the financial barrier to higher education has deep roots at The UPS Foundation.,"('Access_And_Affordability', 0.4476359486579895)","('Employee_Engagement_Inclusion_And_Diversity', 0.20811238884925842)","('Management_Of_Legal_And_Regulatory_Framework', 0.05711466446518898)","('NON-ESG', 0.4476359486579895)","('NON-ESG', 0.20811238884925842)","('NON-ESG', 0.05711466446518898)"
Line 112,"In 1995, The UPS Foundation launched the UPS Community Service Scholars Program as an intentional way to better support students attending Historically Black Colleges and Universities (HBCUs) in the metro Atlanta area.","('Employee_Engagement_Inclusion_And_Diversity', 0.8932658433914185)","('Access_And_Affordability', 0.022766267880797386)","('Human_Rights_And_Community_Relations', 0.009621337056159973)","(['Talent Attraction & Retention'], 0.8932658433914185)","('NON-ESG', 0.022766267880797386)","('NON-ESG', 0.009621337056159973)"
Line 113,"The scholars receive a $5,000 annual scholarship and are asked to provide 150 hours each semester tutoring and mentoring students at Fickett Elementary School in Southwest Atlanta.","('Access_And_Affordability', 0.8481260538101196)","('Employee_Engagement_Inclusion_And_Diversity', 0.017370877787470818)","('Product_Quality_And_Safety', 0.013709863647818565)","([], 0.8481260538101196)","('NON-ESG', 0.017370877787470818)","('NON-ESG', 0.013709863647818565)"
Line 114,"To date, weve awarded more than $4 million to these scholars.","('Management_Of_Legal_And_Regulatory_Framework', 0.5277939438819885)","('Access_And_Affordability', 0.10440221428871155)","('Ecological_Impacts', 0.05560745671391487)","([], 0.5277939438819885)","('NON-ESG', 0.10440221428871155)","('NON-ESG', 0.05560745671391487)"
Line 115,This program offers a unique opportunity for students who are looking to achieve academic excellence while making a difference in the lives of young children.,"('Access_And_Affordability', 0.47525137662887573)","('Employee_Engagement_Inclusion_And_Diversity', 0.1629548966884613)","('Human_Rights_And_Community_Relations', 0.08886997401714325)","('NON-ESG', 0.47525137662887573)","('NON-ESG', 0.1629548966884613)","('NON-ESG', 0.08886997401714325)"
Line 116,17I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Providing access to high-quality legal aid Removing barriers to opportunity is at the heart of the Georgia Justice Projects (GJP) work.,"('Human_Rights_And_Community_Relations', 0.858256995677948)","('Access_And_Affordability', 0.06012421473860741)","('Critical_Incident_Risk_Management', 0.01113783847540617)","(['Stakeholder Engagement'], 0.858256995677948)","('NON-ESG', 0.06012421473860741)","('NON-ESG', 0.01113783847540617)"
Line 117,GJP touches every aspect of the criminal justice continuum with a goal to reduce the number of Georgians in the correctional system and to lower recidivism rates.,"('Management_Of_Legal_And_Regulatory_Framework', 0.31625160574913025)","('Business_Ethics', 0.20849235355854034)","('Access_And_Affordability', 0.14199930429458618)","('NON-ESG', 0.31625160574913025)","('NON-ESG', 0.20849235355854034)","('NON-ESG', 0.14199930429458618)"
Line 118,"Financial support from The UPS Foundation is helping provide high-quality, pro bono criminal defense, legal assessments, training for volunteer attorneys and related support.","('Management_Of_Legal_And_Regulatory_Framework', 0.4994280934333801)","('Access_And_Affordability', 0.1961851418018341)","('Product_Quality_And_Safety', 0.04192287102341652)","('NON-ESG', 0.4994280934333801)","('NON-ESG', 0.1961851418018341)","('NON-ESG', 0.04192287102341652)"
Line 119,"As society reassesses the application of justice, equity, and fairness in the legal justice systems, GJP is supporting second chances and another opportunity at life.","('Business_Ethics', 0.3603461980819702)","('Management_Of_Legal_And_Regulatory_Framework', 0.276709645986557)","('Competitive_Behavior', 0.14949403703212738)","('NON-ESG', 0.3603461980819702)","('NON-ESG', 0.276709645986557)","('NON-ESG', 0.14949403703212738)"
Line 120,"Activating allyship with LGBTQ+ communities Our rallying cry, You Belong at UPS, unites UPSers, our customers, and the communities where we live and serve.","('Employee_Engagement_Inclusion_And_Diversity', 0.8943667411804199)","('Human_Rights_And_Community_Relations', 0.027376161888241768)","('Access_And_Affordability', 0.008140766061842442)","(['Talent Attraction & Retention'], 0.8943667411804199)","('NON-ESG', 0.027376161888241768)","('NON-ESG', 0.008140766061842442)"
Line 121,"UPS knows that to make a more inclusive and equitable world, allyship with the LGBTQ+ community is critical.","('Employee_Engagement_Inclusion_And_Diversity', 0.9364570379257202)","('Human_Rights_And_Community_Relations', 0.011328645050525665)","('Access_And_Affordability', 0.006975083611905575)","(['Talent Attraction & Retention'], 0.9364570379257202)","('NON-ESG', 0.011328645050525665)","('NON-ESG', 0.006975083611905575)"
Line 122,Thats why The UPS Foundation was proud to support PFLAG Nationals Straight for Equality program.,"('Employee_Engagement_Inclusion_And_Diversity', 0.6579625010490417)","('Labor_Practices', 0.05928604304790497)","('Human_Rights_And_Community_Relations', 0.0436384379863739)","(['Talent Attraction & Retention'], 0.6579625010490417)","('NON-ESG', 0.05928604304790497)","('NON-ESG', 0.0436384379863739)"
Line 123,"PFLAG is the first and largest organization for lesbian, gay, bisexual, transgender, and queer (LGBTQ+) people, their parents and families, and allies.","('Employee_Engagement_Inclusion_And_Diversity', 0.9617623686790466)","('Human_Rights_And_Community_Relations', 0.003969904035329819)","('Employee_Health_And_Safety', 0.0038775159046053886)","(['Talent Attraction & Retention'], 0.9617623686790466)","('NON-ESG', 0.003969904035329819)","('NON-ESG', 0.0038775159046053886)"
Line 124,"UPSs support of PFLAG National in 2021 engaged over 18,000 individuals through 173 learning sessions, working to build inclusive allies and promote action in the workplace.","('Employee_Engagement_Inclusion_And_Diversity', 0.5903859734535217)","('Human_Rights_And_Community_Relations', 0.13468003273010254)","('Access_And_Affordability', 0.06203474849462509)","(['Talent Attraction & Retention'], 0.5903859734535217)","('NON-ESG', 0.13468003273010254)","('NON-ESG', 0.06203474849462509)"
Line 125,LEARN MORE 18Leveraging human capital to inspire and mobilize volunteers and organizations to deliver systemic and positive impact in their local communities.,"('Business_Model_Resilience', 0.3674994111061096)","('Human_Rights_And_Community_Relations', 0.2278449982404709)","('Systemic_Risk_Management', 0.15105000138282776)","('NON-ESG', 0.3674994111061096)","('NON-ESG', 0.2278449982404709)","('NON-ESG', 0.15105000138282776)"
Line 126,"Chapter 3 Local Community EngagementI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 1 3 4Related Sustainable Development Goals 1.1M volunteer service hours recorded 100K volunteer hours recorded in Black underserved communitiesGoal: 30 million volunteer hours globally by 2030 and 1M hours supporting underserved Black communities 19I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Transforming smiles and changing lives Operation Smile Peru is well-known in the country for its tireless work in providing access to safe surgical care and comprehensive, ongoing healthcare services for hundreds of children born each year in Peru with cleft lips and pallets.","('Access_And_Affordability', 0.8254732489585876)","('Human_Rights_And_Community_Relations', 0.07792863249778748)","('Employee_Engagement_Inclusion_And_Diversity', 0.009333248250186443)","([], 0.8254732489585876)","('NON-ESG', 0.07792863249778748)","('NON-ESG', 0.009333248250186443)"
Line 127,"Chapter 3 Local Community EngagementI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 1 3 4Related Sustainable Development Goals 1.1M volunteer service hours recorded 100K volunteer hours recorded in Black underserved communitiesGoal: 30 million volunteer hours globally by 2030 and 1M hours supporting underserved Black communities 19I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Transforming smiles and changing lives Operation Smile Peru is well-known in the country for its tireless work in providing access to safe surgical care and comprehensive, ongoing healthcare services for hundreds of children born each year in Peru with cleft lips and pallets.","('Access_And_Affordability', 0.6837701201438904)","('Employee_Health_And_Safety', 0.09472531080245972)","('Employee_Engagement_Inclusion_And_Diversity', 0.04830160737037659)","([], 0.6837701201438904)","('NON-ESG', 0.09472531080245972)","('NON-ESG', 0.04830160737037659)"
Line 128,Operation Smile is keenly aware that many of its patients consistently face the endemic threat of malnutrition.,"('Access_And_Affordability', 0.4574016332626343)","('Product_Quality_And_Safety', 0.09782125055789948)","('Labor_Practices', 0.04689575731754303)","('NON-ESG', 0.4574016332626343)","('NON-ESG', 0.09782125055789948)","('NON-ESG', 0.04689575731754303)"
Line 129,The COVID-19 pandemic exacerbated food insecurity and the subsequent risk of anemia and starvation.,"('Employee_Health_And_Safety', 0.1420370638370514)","('Systemic_Risk_Management', 0.12545984983444214)","('Critical_Incident_Risk_Management', 0.10958173125982285)","('NON-ESG', 0.1420370638370514)","('NON-ESG', 0.12545984983444214)","('NON-ESG', 0.10958173125982285)"
Line 130,"In response, The UPS Foundation provided funding to Operation Smile and its Nutrikit Project, which included distributing 200 food baskets to the children being helped and provided them with yet another reason to smile.","('Access_And_Affordability', 0.8075712323188782)","('Product_Quality_And_Safety', 0.026740755885839462)","('Customer_Welfare', 0.021005624905228615)","([], 0.8075712323188782)","('NON-ESG', 0.026740755885839462)","('NON-ESG', 0.021005624905228615)"
Line 131,"Fostering learning across Colombia with new school libraries Amid armed conflict in Colombia, non-profit Global Humanitaria provides a path to a brighter future through educational programming for the countrys most vulnerable children.","('Access_And_Affordability', 0.7909507155418396)","('Human_Rights_And_Community_Relations', 0.07709213346242905)","('Critical_Incident_Risk_Management', 0.026089215651154518)","([], 0.7909507155418396)","('NON-ESG', 0.07709213346242905)","('NON-ESG', 0.026089215651154518)"
Line 132,"In the port city of Tumaco, 33 dedicated teachers have received specialized training in preschool literacy, effective communication and conflict-resolution skills.","('Human_Rights_And_Community_Relations', 0.6400994658470154)","('Access_And_Affordability', 0.14842723309993744)","('Employee_Engagement_Inclusion_And_Diversity', 0.04011007025837898)","(['Stakeholder Engagement'], 0.6400994658470154)","('NON-ESG', 0.14842723309993744)","('NON-ESG', 0.04011007025837898)"
Line 133,"Thanks to a grant from The UPS Foundation, six institutions received new instructional materials, books, and furniture to create libraries and an inviting space for children to learn.","('Access_And_Affordability', 0.6974189877510071)","('Ecological_Impacts', 0.03318076953291893)","('Employee_Engagement_Inclusion_And_Diversity', 0.030507905408740044)","([], 0.6974189877510071)","('NON-ESG', 0.03318076953291893)","('NON-ESG', 0.030507905408740044)"
Line 134,"Overall, 1,800 students will benefit from this funding, which will enhance reading, writing, and comprehension skills.","('Access_And_Affordability', 0.4968326687812805)","('Employee_Engagement_Inclusion_And_Diversity', 0.17306604981422424)","('Product_Quality_And_Safety', 0.027278564870357513)","('NON-ESG', 0.4968326687812805)","('NON-ESG', 0.17306604981422424)","('NON-ESG', 0.027278564870357513)"
Line 135,"20I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Uniting to give veterans greater freedom of mobility UPSer Greg Schneider, a UPS 34-year Circle of Honor driver, has been building wheelchair ramps through Operation Ramp it Up, which he founded in 2014.","('Human_Rights_And_Community_Relations', 0.44886326789855957)","('Access_And_Affordability', 0.21815145015716553)","('Employee_Engagement_Inclusion_And_Diversity', 0.12123336642980576)","('NON-ESG', 0.44886326789855957)","('NON-ESG', 0.21815145015716553)","('NON-ESG', 0.12123336642980576)"
Line 136,"Financial support from The UPS Foundation helps this organization provide freedom, accessibility, and independence to disabled veterans and their families who have exhausted all other resources and are unable to otherwise install a ramp.","('Access_And_Affordability', 0.36271584033966064)","('Employee_Engagement_Inclusion_And_Diversity', 0.27629417181015015)","('Employee_Health_And_Safety', 0.11595466732978821)","('NON-ESG', 0.36271584033966064)","('NON-ESG', 0.27629417181015015)","('NON-ESG', 0.11595466732978821)"
Line 137,"To date, 280 ramps have been installed in 40 states, and UPSers have contributed more than 10,000 volunteer hours.","('Access_And_Affordability', 0.2950187921524048)","('Employee_Health_And_Safety', 0.22233837842941284)","('Employee_Engagement_Inclusion_And_Diversity', 0.11476553976535797)","('NON-ESG', 0.2950187921524048)","('NON-ESG', 0.22233837842941284)","('NON-ESG', 0.11476553976535797)"
Line 138,"When ramps are no longer needed, volunteers remove the ramp and recycle it to be used by other veterans in need.","('Waste_And_Hazardous_Materials_Management', 0.2709583044052124)","('Employee_Health_And_Safety', 0.1743028461933136)","('Product_Design_And_Lifecycle_Management', 0.09903751313686371)","('NON-ESG', 0.2709583044052124)","('NON-ESG', 0.1743028461933136)","('NON-ESG', 0.09903751313686371)"
Line 139,"To date, 150 ramps have been recycled and reinstalled for other veterans.","('Product_Design_And_Lifecycle_Management', 0.6049889326095581)","('Energy_Management', 0.0525059849023819)","('Management_Of_Legal_And_Regulatory_Framework', 0.04017609730362892)","([], 0.6049889326095581)","('NON-ESG', 0.0525059849023819)","('NON-ESG', 0.04017609730362892)"
Line 140,"LEARN MORE Delivering what matters when natural disasters strike When a volcanic eruptionlasting three monthson the Canary Island of La Palma sent molten lava flowing to the sea, it destroyed nearly 2,000 buildings and forced the evacuation of 7,000 people.","('Critical_Incident_Risk_Management', 0.9117566347122192)","('Physical_Impacts_Of_Climate_Change', 0.021002979949116707)","('Air_Quality', 0.010919599793851376)","(['Risk & Crisis Management'], 0.9117566347122192)","('NON-ESG', 0.021002979949116707)","('NON-ESG', 0.010919599793851376)"
Line 141,"The air was polluted with suspended volcanic ash, which severely limited visibility and caused poor air quality.","('Air_Quality', 0.9682692885398865)","('Critical_Incident_Risk_Management', 0.0031928776297718287)","('Water_And_Wastewater_Management', 0.002672575879842043)","([], 0.9682692885398865)","('NON-ESG', 0.0031928776297718287)","('NON-ESG', 0.002672575879842043)"
Line 142,"In partnership with the Spanish Red Cross, European UPSers worked with The UPS Foundation to provide in-kind transportation of safety glasses and masks from the Iberian Peninsula to La Palma Island to address the islands shortage of these essential items.","('Employee_Health_And_Safety', 0.8264279961585999)","('Product_Quality_And_Safety', 0.03718353062868118)","('Product_Design_And_Lifecycle_Management', 0.03689632937312126)","(['Occupational Health & Safety'], 0.8264279961585999)","('NON-ESG', 0.03718353062868118)","('NON-ESG', 0.03689632937312126)"
Line 143,OPERATION 21I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Celebrating the Jim Casey Community Service Award Finalists The Jim Casey Community Service Award is one way UPS recognizes employees who demonstrate an exceptional commitment to give back to their community.,"('Human_Rights_And_Community_Relations', 0.9220841526985168)","('Access_And_Affordability', 0.021320095285773277)","('Critical_Incident_Risk_Management', 0.00703211035579443)","(['Stakeholder Engagement'], 0.9220841526985168)","('NON-ESG', 0.021320095285773277)","('NON-ESG', 0.00703211035579443)"
Line 144,"Each year, The UPS Foundation invites UPSers to nominate colleagues for the award.","('Management_Of_Legal_And_Regulatory_Framework', 0.311066210269928)","('Ecological_Impacts', 0.10874961316585541)","('Business_Ethics', 0.0815979465842247)","('NON-ESG', 0.311066210269928)","('NON-ESG', 0.10874961316585541)","('NON-ESG', 0.0815979465842247)"
Line 145,"The 2021 winner was awarded a $25,000 grant, and the finalists received $5,000 grants in support of the non-profit organizations that they serve.","('Management_Of_Legal_And_Regulatory_Framework', 0.38759106397628784)","('Access_And_Affordability', 0.26479747891426086)","('Human_Rights_And_Community_Relations', 0.07922929525375366)","('NON-ESG', 0.38759106397628784)","('NON-ESG', 0.26479747891426086)","('NON-ESG', 0.07922929525375366)"
Line 146,These UPSers are truly delivering what matters.,"('Business_Model_Resilience', 0.18025317788124084)","('Management_Of_Legal_And_Regulatory_Framework', 0.08915986865758896)","('Business_Ethics', 0.08249007165431976)","('NON-ESG', 0.18025317788124084)","('NON-ESG', 0.08915986865758896)","('NON-ESG', 0.08249007165431976)"
Line 147,"Nadir Ali Shaikh Region/Business Unit: Indian Subcontinent, Middle East, and Africa (ISMEA) District Job at UPS: Administrative assistant Impact Area: Vachlabai Apang Seva Sansthai Tracy Bates Region/Business Unit: Sandy Creek Hub Job at UPS: Building & Systems Engineering supervisor Impact Area: Organizer for Historic Westside Village Festival, MUST Ministries Jeff Baumblatt Region/Business Unit: Supply Chain Solutions Global Freight Forwarding Job at UPS: Marketing director Impact Area: Lighthouse Family Retreat, a respite for families of children with Down Syndrome Mark Ferrante Region/Business Unit: The UPS Store Job at UPS: Sales representative Impact Area: Coach and Counsel Organization, second chance employment Kimberly Gilmore Region/Business Unit: Global Business Services Job at UPS: Senior customer support rep Impact Area: Several homeless and various animal shelters in the Kansas City area Vladimir Gonzalez Region/Business Unit: Latin America Job at UPS: Coordinator Impact Area: Hospitals in Mexico City Jamie Lemmen Region/Business Unit: Corporate Job at UPS: Area sales manager Impact Area: Amina Ministries, Welcome Home Ministries-Africa, and West Michigan United Way Victor Manuel Bernal Nunez Region/Business Unit: Europe Region Job at UPS: Operations Impact Area: Corresolidaris, a non-profit focused on pandemic relief Jitender Pal Region/Business Unit: Canada Job at UPS: CHSP Supervisor Impact Area: Calgary International Airport volunteer translator and Boys and Girls Club of Canada Laurie Payne Region/Business Unit: CACH Job at UPS: Part-time Supervisor Impact Area: Church, NAACP and other volunteer organizations Greg Schneider Region/Business Unit: East Region, Ohio Valley District Job at UPS: Porter and UPS driver Impact Area: Operation Ramp It Up Dana Sims Region/Business Unit: Information Technology Job at UPS: Senior project coordinator analyst Impact Area: Scarlet Hope Terry Thompson Region/Business Unit: Air Group Job at UPS: Aircraft maintenance manager Impact Area: Active Heroes Retreat, Veterans Memorial Park of Kentucky, Highpoint Charitable Services and Schooler Prep Academy Kevin Ward Region/Business Unit: West Region, Red River District Job at UPS: Industrial engineer specialist Impact Area: Boys & Girls Club, Houston Childrens Charity, Houston Frontiers Club, Houston Literacy Foundation and Kappa Alpha Psi Fraternity Inc.","('Supply_Chain_Management', 0.9206250905990601)","('Product_Design_And_Lifecycle_Management', 0.012684062123298645)","('Employee_Health_And_Safety', 0.007486655842512846)","([], 0.9206250905990601)","('NON-ESG', 0.012684062123298645)","('NON-ESG', 0.007486655842512846)"
Line 148,"Nadir Ali Shaikh Region/Business Unit: Indian Subcontinent, Middle East, and Africa (ISMEA) District Job at UPS: Administrative assistant Impact Area: Vachlabai Apang Seva Sansthai Tracy Bates Region/Business Unit: Sandy Creek Hub Job at UPS: Building & Systems Engineering supervisor Impact Area: Organizer for Historic Westside Village Festival, MUST Ministries Jeff Baumblatt Region/Business Unit: Supply Chain Solutions Global Freight Forwarding Job at UPS: Marketing director Impact Area: Lighthouse Family Retreat, a respite for families of children with Down Syndrome Mark Ferrante Region/Business Unit: The UPS Store Job at UPS: Sales representative Impact Area: Coach and Counsel Organization, second chance employment Kimberly Gilmore Region/Business Unit: Global Business Services Job at UPS: Senior customer support rep Impact Area: Several homeless and various animal shelters in the Kansas City area Vladimir Gonzalez Region/Business Unit: Latin America Job at UPS: Coordinator Impact Area: Hospitals in Mexico City Jamie Lemmen Region/Business Unit: Corporate Job at UPS: Area sales manager Impact Area: Amina Ministries, Welcome Home Ministries-Africa, and West Michigan United Way Victor Manuel Bernal Nunez Region/Business Unit: Europe Region Job at UPS: Operations Impact Area: Corresolidaris, a non-profit focused on pandemic relief Jitender Pal Region/Business Unit: Canada Job at UPS: CHSP Supervisor Impact Area: Calgary International Airport volunteer translator and Boys and Girls Club of Canada Laurie Payne Region/Business Unit: CACH Job at UPS: Part-time Supervisor Impact Area: Church, NAACP and other volunteer organizations Greg Schneider Region/Business Unit: East Region, Ohio Valley District Job at UPS: Porter and UPS driver Impact Area: Operation Ramp It Up Dana Sims Region/Business Unit: Information Technology Job at UPS: Senior project coordinator analyst Impact Area: Scarlet Hope Terry Thompson Region/Business Unit: Air Group Job at UPS: Aircraft maintenance manager Impact Area: Active Heroes Retreat, Veterans Memorial Park of Kentucky, Highpoint Charitable Services and Schooler Prep Academy Kevin Ward Region/Business Unit: West Region, Red River District Job at UPS: Industrial engineer specialist Impact Area: Boys & Girls Club, Houston Childrens Charity, Houston Frontiers Club, Houston Literacy Foundation and Kappa Alpha Psi Fraternity Inc.","('Employee_Health_And_Safety', 0.4906235635280609)","('Access_And_Affordability', 0.28884077072143555)","('Employee_Engagement_Inclusion_And_Diversity', 0.04778052121400833)","('NON-ESG', 0.4906235635280609)","('NON-ESG', 0.28884077072143555)","('NON-ESG', 0.04778052121400833)"
Line 149,"Nadir Ali Shaikh Region/Business Unit: Indian Subcontinent, Middle East, and Africa (ISMEA) District Job at UPS: Administrative assistant Impact Area: Vachlabai Apang Seva Sansthai Tracy Bates Region/Business Unit: Sandy Creek Hub Job at UPS: Building & Systems Engineering supervisor Impact Area: Organizer for Historic Westside Village Festival, MUST Ministries Jeff Baumblatt Region/Business Unit: Supply Chain Solutions Global Freight Forwarding Job at UPS: Marketing director Impact Area: Lighthouse Family Retreat, a respite for families of children with Down Syndrome Mark Ferrante Region/Business Unit: The UPS Store Job at UPS: Sales representative Impact Area: Coach and Counsel Organization, second chance employment Kimberly Gilmore Region/Business Unit: Global Business Services Job at UPS: Senior customer support rep Impact Area: Several homeless and various animal shelters in the Kansas City area Vladimir Gonzalez Region/Business Unit: Latin America Job at UPS: Coordinator Impact Area: Hospitals in Mexico City Jamie Lemmen Region/Business Unit: Corporate Job at UPS: Area sales manager Impact Area: Amina Ministries, Welcome Home Ministries-Africa, and West Michigan United Way Victor Manuel Bernal Nunez Region/Business Unit: Europe Region Job at UPS: Operations Impact Area: Corresolidaris, a non-profit focused on pandemic relief Jitender Pal Region/Business Unit: Canada Job at UPS: CHSP Supervisor Impact Area: Calgary International Airport volunteer translator and Boys and Girls Club of Canada Laurie Payne Region/Business Unit: CACH Job at UPS: Part-time Supervisor Impact Area: Church, NAACP and other volunteer organizations Greg Schneider Region/Business Unit: East Region, Ohio Valley District Job at UPS: Porter and UPS driver Impact Area: Operation Ramp It Up Dana Sims Region/Business Unit: Information Technology Job at UPS: Senior project coordinator analyst Impact Area: Scarlet Hope Terry Thompson Region/Business Unit: Air Group Job at UPS: Aircraft maintenance manager Impact Area: Active Heroes Retreat, Veterans Memorial Park of Kentucky, Highpoint Charitable Services and Schooler Prep Academy Kevin Ward Region/Business Unit: West Region, Red River District Job at UPS: Industrial engineer specialist Impact Area: Boys & Girls Club, Houston Childrens Charity, Houston Frontiers Club, Houston Literacy Foundation and Kappa Alpha Psi Fraternity Inc.","('Access_And_Affordability', 0.3235997259616852)","('Employee_Health_And_Safety', 0.3202437162399292)","('Critical_Incident_Risk_Management', 0.10316242277622223)","('NON-ESG', 0.3235997259616852)","('NON-ESG', 0.3202437162399292)","('NON-ESG', 0.10316242277622223)"
Line 150,"Nadir Ali Shaikh Region/Business Unit: Indian Subcontinent, Middle East, and Africa (ISMEA) District Job at UPS: Administrative assistant Impact Area: Vachlabai Apang Seva Sansthai Tracy Bates Region/Business Unit: Sandy Creek Hub Job at UPS: Building & Systems Engineering supervisor Impact Area: Organizer for Historic Westside Village Festival, MUST Ministries Jeff Baumblatt Region/Business Unit: Supply Chain Solutions Global Freight Forwarding Job at UPS: Marketing director Impact Area: Lighthouse Family Retreat, a respite for families of children with Down Syndrome Mark Ferrante Region/Business Unit: The UPS Store Job at UPS: Sales representative Impact Area: Coach and Counsel Organization, second chance employment Kimberly Gilmore Region/Business Unit: Global Business Services Job at UPS: Senior customer support rep Impact Area: Several homeless and various animal shelters in the Kansas City area Vladimir Gonzalez Region/Business Unit: Latin America Job at UPS: Coordinator Impact Area: Hospitals in Mexico City Jamie Lemmen Region/Business Unit: Corporate Job at UPS: Area sales manager Impact Area: Amina Ministries, Welcome Home Ministries-Africa, and West Michigan United Way Victor Manuel Bernal Nunez Region/Business Unit: Europe Region Job at UPS: Operations Impact Area: Corresolidaris, a non-profit focused on pandemic relief Jitender Pal Region/Business Unit: Canada Job at UPS: CHSP Supervisor Impact Area: Calgary International Airport volunteer translator and Boys and Girls Club of Canada Laurie Payne Region/Business Unit: CACH Job at UPS: Part-time Supervisor Impact Area: Church, NAACP and other volunteer organizations Greg Schneider Region/Business Unit: East Region, Ohio Valley District Job at UPS: Porter and UPS driver Impact Area: Operation Ramp It Up Dana Sims Region/Business Unit: Information Technology Job at UPS: Senior project coordinator analyst Impact Area: Scarlet Hope Terry Thompson Region/Business Unit: Air Group Job at UPS: Aircraft maintenance manager Impact Area: Active Heroes Retreat, Veterans Memorial Park of Kentucky, Highpoint Charitable Services and Schooler Prep Academy Kevin Ward Region/Business Unit: West Region, Red River District Job at UPS: Industrial engineer specialist Impact Area: Boys & Girls Club, Houston Childrens Charity, Houston Frontiers Club, Houston Literacy Foundation and Kappa Alpha Psi Fraternity Inc.","('Employee_Health_And_Safety', 0.3474311828613281)","('Critical_Incident_Risk_Management', 0.12825308740139008)","('Access_And_Affordability', 0.07862570136785507)","('NON-ESG', 0.3474311828613281)","('NON-ESG', 0.12825308740139008)","('NON-ESG', 0.07862570136785507)"
Line 151,"Nadir Ali Shaikh Region/Business Unit: Indian Subcontinent, Middle East, and Africa (ISMEA) District Job at UPS: Administrative assistant Impact Area: Vachlabai Apang Seva Sansthai Tracy Bates Region/Business Unit: Sandy Creek Hub Job at UPS: Building & Systems Engineering supervisor Impact Area: Organizer for Historic Westside Village Festival, MUST Ministries Jeff Baumblatt Region/Business Unit: Supply Chain Solutions Global Freight Forwarding Job at UPS: Marketing director Impact Area: Lighthouse Family Retreat, a respite for families of children with Down Syndrome Mark Ferrante Region/Business Unit: The UPS Store Job at UPS: Sales representative Impact Area: Coach and Counsel Organization, second chance employment Kimberly Gilmore Region/Business Unit: Global Business Services Job at UPS: Senior customer support rep Impact Area: Several homeless and various animal shelters in the Kansas City area Vladimir Gonzalez Region/Business Unit: Latin America Job at UPS: Coordinator Impact Area: Hospitals in Mexico City Jamie Lemmen Region/Business Unit: Corporate Job at UPS: Area sales manager Impact Area: Amina Ministries, Welcome Home Ministries-Africa, and West Michigan United Way Victor Manuel Bernal Nunez Region/Business Unit: Europe Region Job at UPS: Operations Impact Area: Corresolidaris, a non-profit focused on pandemic relief Jitender Pal Region/Business Unit: Canada Job at UPS: CHSP Supervisor Impact Area: Calgary International Airport volunteer translator and Boys and Girls Club of Canada Laurie Payne Region/Business Unit: CACH Job at UPS: Part-time Supervisor Impact Area: Church, NAACP and other volunteer organizations Greg Schneider Region/Business Unit: East Region, Ohio Valley District Job at UPS: Porter and UPS driver Impact Area: Operation Ramp It Up Dana Sims Region/Business Unit: Information Technology Job at UPS: Senior project coordinator analyst Impact Area: Scarlet Hope Terry Thompson Region/Business Unit: Air Group Job at UPS: Aircraft maintenance manager Impact Area: Active Heroes Retreat, Veterans Memorial Park of Kentucky, Highpoint Charitable Services and Schooler Prep Academy Kevin Ward Region/Business Unit: West Region, Red River District Job at UPS: Industrial engineer specialist Impact Area: Boys & Girls Club, Houston Childrens Charity, Houston Frontiers Club, Houston Literacy Foundation and Kappa Alpha Psi Fraternity Inc.","('Access_And_Affordability', 0.8477402925491333)","('Employee_Engagement_Inclusion_And_Diversity', 0.021075254306197166)","('Employee_Health_And_Safety', 0.01780945248901844)","([], 0.8477402925491333)","('NON-ESG', 0.021075254306197166)","('NON-ESG', 0.01780945248901844)"
Line 152,"Hai Zheng Region/Business Unit: Asia Region, China District Job at UPS: Feeder driver Impact Area: Dongguan Changping Center 22I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Honoring the 2021 Jim Casey Community Service Award Winner Harry Kpoh To Liberia with love The UPS Foundation recognized Harry Kpohs extraordinary impact and named him the 2021 Jim Casey Community Service Award winner.","('Human_Rights_And_Community_Relations', 0.8684667348861694)","('Access_And_Affordability', 0.04273548722267151)","('Employee_Health_And_Safety', 0.011729372665286064)","(['Stakeholder Engagement'], 0.8684667348861694)","('NON-ESG', 0.04273548722267151)","('NON-ESG', 0.011729372665286064)"
